Name,Character Id,Level,Power,Stars,Red Stars,Gear Tier,Basic,Special,Ultimate,Passive,ISO Class,ISO Matrix,Striker,Fortifier,Healer,Raider,Skirmisher,ISO Health,ISO Damage,ISO Armor,ISO Focus,ISO Resist
Chaos Hurricane,Carnage,90,257518,7,7,17,6,6,6,4,skirmisher,purple,,,,,10,,,,,
Chaos Hurricane,Sif,78,173509,7,9,14,7,7,6,4,fortifier,blue,,8,,,,3,3,4,3,3
Chaos Hurricane,Thor,71,109769,7,8,13,6,6,6,4,striker,,5,,,,,5,5,5,5,5
Chaos Hurricane,Vulture,50,45300,7,8,9,5,5,5,3,,,,,,,,,,5,,
Chaos Hurricane,ElsaBloodstone,72,104450,7,7,13,6,6,6,4,skirmisher,,,,,,5,5,5,5,5,5
Chaos Hurricane,Nobu,50,38715,7,7,9,5,5,5,3,,,,,,,,,,,,
Chaos Hurricane,Namor,80,197483,7,8,15,6,6,6,4,striker,blue,10,,,,,5,5,5,5,5
Chaos Hurricane,Graviton,38,18596,7,7,7,4,4,3,2,,,,,,,,,,,,
Chaos Hurricane,GhostRider,13,1901,7,7,3,1,1,1,,,,,,,,,,,,,
Chaos Hurricane,Stryfe,70,96735,7,7,13,6,6,6,4,fortifier,,,5,,,5,5,5,5,5,5
Chaos Hurricane,Magneto,100,534753,7,8,18,7,7,7,5,skirmisher,purple,,,,,10,,,,,
Chaos Hurricane,Colossus,75,135025,7,7,14,6,6,6,4,fortifier,blue,,8,,,,3,3,3,3,3
Chaos Hurricane,ProximaMidnight,40,24919,7,7,7,4,4,4,2,striker,,4,,,,,4,4,4,4,4
Chaos Hurricane,SymbioteSpiderMan,60,66799,7,7,11,6,6,6,4,,,,,,,,,,,,
Chaos Hurricane,YoYo,74,110914,7,7,13,7,6,6,4,fortifier,,5,5,,,,5,5,5,5,5
Chaos Hurricane,Taskmaster,70,97578,7,7,13,6,6,6,4,raider,,,,,4,,4,4,4,4,4
Chaos Hurricane,Domino,68,87238,7,8,12,7,6,6,4,,,,,,,,,,,,
Chaos Hurricane,Karnak,1,735,7,8,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,CorvusGlaive,1,672,7,7,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,Negasonic,50,38327,7,7,9,5,5,5,3,,,,,,,,,,,,
Chaos Hurricane,X23,80,169275,7,7,15,7,7,7,4,fortifier,blue,,5,,,,,,,,
Chaos Hurricane,MrSinister,78,171012,7,10,14,7,6,6,5,healer,blue,,3,5,,,,,1,,
Chaos Hurricane,Beast,73,104916,7,7,13,7,6,6,4,healer,,,,5,,,5,5,5,5,5
Chaos Hurricane,Blob,1,671,7,7,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,EmmaFrost,100,549855,7,9,18,7,7,7,5,healer,purple,5,5,10,5,6,1,2,,1,
Chaos Hurricane,BlackBolt,100,501353,7,7,18,6,6,6,5,striker,purple,10,,,,,,,,,
Chaos Hurricane,Ironheart,90,238306,7,7,17,7,7,7,5,raider,blue,,,,7,,3,3,3,3,2
Chaos Hurricane,CaptainAmerica,100,538235,7,8,18,7,6,6,5,fortifier,purple,,10,,,,,,,,
Chaos Hurricane,Shuri,90,259340,7,7,17,7,7,7,5,healer,blue,,,8,,,3,3,4,3,3
Chaos Hurricane,SquirrelGirl,32,14609,7,7,6,3,3,3,1,healer,,,,4,,,5,4,4,5,5
Chaos Hurricane,Electro,80,195303,7,8,15,7,6,6,5,raider,blue,,,,9,,4,4,4,4,4
Chaos Hurricane,SheHulk,100,614169,7,10,18,7,7,7,5,skirmisher,purple,,8,,,10,,,,,
Chaos Hurricane,RedSkull,1,670,7,7,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,Stature,65,81004,7,7,12,6,6,6,4,fortifier,,,5,,5,,5,5,5,5,5
Chaos Hurricane,Scream,60,72530,7,7,11,6,6,6,4,raider,,,,,5,,5,5,5,5,5
Chaos Hurricane,Shatterstar,90,265035,7,8,17,6,6,6,5,raider,purple,,,,10,5,,,,,
Chaos Hurricane,Swarm,80,157999,7,7,15,6,6,6,5,skirmisher,blue,,,,,6,2,3,1,4,1
Chaos Hurricane,Coulson,80,161499,7,7,15,6,6,6,4,skirmisher,blue,5,,,,8,3,3,5,4,4
Chaos Hurricane,Yellowjacket,55,58023,7,7,10,6,5,5,4,raider,,,,,5,,5,5,5,5,5
Chaos Hurricane,Ultron,75,124065,7,5,14,6,6,6,4,striker,blue,10,,,,,5,5,5,5,5
Chaos Hurricane,KittyPryde,70,106733,7,7,13,7,6,6,5,fortifier,,,5,,,,5,5,5,5,5
Chaos Hurricane,CullObsidian,1,672,7,7,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,Ghost,65,80407,7,7,12,6,6,6,4,skirmisher,,,,,,4,4,4,4,4,4
Chaos Hurricane,NickFury,75,134916,7,7,14,7,6,6,5,skirmisher,blue,,,5,,8,3,4,3,4,3
Chaos Hurricane,Iceman,66,85838,7,7,12,7,6,6,5,skirmisher,,1,,,,3,3,3,4,3,3
Chaos Hurricane,Longshot,90,233495,7,8,17,6,6,6,5,raider,blue,5,,,7,5,4,4,2,4,3
Chaos Hurricane,WhiteTiger,1,671,7,7,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,Bishop,90,292720,7,8,17,7,7,7,5,striker,purple,10,,,5,,,,,,
Chaos Hurricane,InvisibleWoman,80,149524,7,7,15,7,6,6,5,skirmisher,blue,,5,,,5,1,,,,
Chaos Hurricane,StarLord,75,105107,7,7,13,6,6,6,4,skirmisher,blue,,,,,5,1,1,1,1,1
Chaos Hurricane,Yelena,96,387210,7,7,18,7,7,7,5,raider,purple,5,,,10,7,,,,,
Chaos Hurricane,MultipleMan,95,334920,7,7,18,7,6,6,5,healer,purple,,9,10,,5,,,,,
Chaos Hurricane,Zemo,50,39110,7,7,9,5,5,5,3,skirmisher,,,,,,1,1,1,1,1,1
Chaos Hurricane,Phoenix,92,339229,7,8,17,7,7,7,5,striker,blue,9,,,9,,4,4,5,4,5
Chaos Hurricane,RedGuardian,50,47285,7,8,9,5,5,5,3,fortifier,,,5,,,,5,5,5,5,5
Chaos Hurricane,Sybil,100,588649,7,8,18,7,7,7,5,raider,purple,,,,10,5,,,,,
Chaos Hurricane,Ultimus,100,892660,7,10,19,7,7,7,5,striker,purple,10,,,,,1,1,1,1,1
Chaos Hurricane,Polaris,100,521864,7,8,18,7,7,7,5,raider,purple,8,5,,10,,,,,,
Chaos Hurricane,PhylaVell,65,88134,7,7,12,6,6,6,5,fortifier,,,4,,,,4,4,5,4,4
Chaos Hurricane,AntiVenom,60,78866,7,8,11,6,6,6,4,healer,,,,5,,,5,5,5,5,5
Chaos Hurricane,MistyKnight,1,798,7,9,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,SharonCarter,96,433762,7,8,18,7,7,7,5,striker,purple,10,,,,8,,,,,
Chaos Hurricane,SamWilson,97,511232,7,9,18,7,7,7,5,fortifier,purple,5,10,,,,,,,,
Chaos Hurricane,MariaHill,96,458703,7,9,18,7,7,7,5,healer,purple,,,10,,,,,,,
Chaos Hurricane,EbonyMaw,71,114791,7,7,13,7,6,6,5,skirmisher,,,,,,5,5,5,5,5,5
Chaos Hurricane,MoonKnight,100,724696,7,9,18,7,7,6,4,raider,purple,,,,12,,2,2,2,2,2
Chaos Hurricane,DoctorOctopus,100,544572,7,8,18,7,7,6,4,healer,purple,,5,10,,,2,1,,1,1
Chaos Hurricane,Deathpool,100,612992,7,8,18,7,7,7,5,striker,purple,10,,,10,,,,,,
Chaos Hurricane,ShangChi,95,421655,7,8,18,7,7,7,5,striker,purple,10,5,,5,,,,,,
Chaos Hurricane,Dagger,90,270874,7,7,17,7,7,7,5,healer,blue,,,9,,,4,4,4,4,4
Chaos Hurricane,Cloak,90,260160,7,7,17,7,7,7,5,skirmisher,blue,6,,,,8,3,3,4,4,4
Chaos Hurricane,SilverSurfer,100,990214,7,10,19,7,7,7,5,striker,purple,11,,,,,2,2,2,2,2
Chaos Hurricane,SilverSamurai,1,735,7,8,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,LadyDeathstrike,100,959657,7,9,19,7,7,7,5,striker,purple,10,8,,,,2,2,,2,2
Chaos Hurricane,Sersi,80,177074,7,7,15,7,7,7,5,skirmisher,blue,,,,,5,,,,,
Chaos Hurricane,Moondragon,100,706639,7,8,18,7,6,6,4,healer,purple,,,11,,,2,2,2,1,1
Chaos Hurricane,Jubilee,90,255604,7,7,17,7,7,7,5,raider,blue,,,,6,,1,1,1,1,1
Chaos Hurricane,Magik,90,268648,7,8,17,7,7,7,5,striker,blue,8,,,8,,4,3,5,3,4
Chaos Hurricane,ColleenWing,65,95236,7,8,12,7,6,6,4,raider,,,,,5,,5,5,5,5,5
Chaos Hurricane,GhostSpider,100,728068,7,10,19,7,7,7,5,raider,purple,,5,,10,,,,,,
Chaos Hurricane,ScarletSpider,72,123350,7,9,13,6,6,6,4,healer,,,,5,,3,5,5,5,5,5
Chaos Hurricane,SpiderPunk,62,76404,7,7,11,6,6,6,4,raider,,,,,4,,4,4,4,4,5
Chaos Hurricane,Ikaris,1,801,7,9,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,KateBishop,66,73471,6,6,12,7,6,6,4,raider,,,,,4,,4,4,4,4,4
Chaos Hurricane,DoctorVoodoo,70,101940,7,7,13,6,6,6,4,healer,,,,5,,,5,5,5,5,5
Chaos Hurricane,StrangeSupreme,100,597096,7,9,18,7,7,7,5,raider,purple,,,,10,,,,,,
Chaos Hurricane,AgathaHarkness,100,951908,7,9,19,7,7,7,5,skirmisher,purple,,,10,,13,3,3,3,3,3
Chaos Hurricane,TChalla,27,7981,7,7,5,3,2,2,1,,,,,,,,,,,,
Chaos Hurricane,MadelynePryor,90,305369,7,9,17,7,7,7,5,striker,blue,9,,,,5,4,4,5,4,4
Chaos Hurricane,NicoMinoru,96,428223,7,7,18,7,7,7,5,skirmisher,purple,,,,,10,,,,,
Chaos Hurricane,Fantomex,98,437828,7,8,18,7,6,6,5,striker,purple,10,,,,,,,,,
Chaos Hurricane,Wong,100,543168,7,8,18,7,7,7,5,raider,purple,,9,,10,,,,,,
Chaos Hurricane,Gambit,100,630271,7,9,18,7,7,7,5,raider,purple,,,,10,,,1,,,
Chaos Hurricane,SpiderWoman,100,580750,7,8,18,7,7,7,5,striker,purple,10,,,,,,,,,
Chaos Hurricane,Sunfire,100,543285,7,8,18,7,7,7,5,skirmisher,purple,,,,,10,,,,,
Chaos Hurricane,JaneThor,90,289175,7,7,17,7,7,7,5,raider,purple,,,,10,,,,,,
Chaos Hurricane,Valkyrie,90,253154,7,7,17,7,7,7,5,striker,blue,7,,,,,2,2,2,2,2
Chaos Hurricane,Morbius,95,320960,7,8,18,6,6,6,4,striker,blue,5,,,,,,,,,
Chaos Hurricane,MorganLeFay,100,815019,7,10,19,7,8,7,6,skirmisher,purple,,,,,13,3,3,3,3,3
Chaos Hurricane,VivVision,98,519534,7,9,18,7,7,7,5,healer,purple,8,,10,,,,,,,
Chaos Hurricane,SpiderWeaver,99,497436,7,8,18,7,6,6,4,skirmisher,purple,,,,,10,,,,,
Chaos Hurricane,Echo,60,78386,7,8,11,6,6,6,4,striker,,4,,,,,5,4,5,4,5
Chaos Hurricane,Rogue,100,648011,7,9,18,8,7,7,6,striker,purple,10,,,,,,,,,
Chaos Hurricane,ZombieIronMan,90,229247,6,5,17,7,6,6,4,striker,purple,10,,,,,,,,,
Chaos Hurricane,Nakia,75,135701,7,7,14,7,7,6,4,fortifier,blue,,6,,,,3,2,2,2,1
Chaos Hurricane,AmadeusCho,100,604160,7,9,18,7,7,7,5,healer,purple,,,10,,,,,,,
Chaos Hurricane,Dazzler,97,473734,7,9,18,7,7,7,5,skirmisher,purple,,,,,10,,,,,
Chaos Hurricane,Abomination,98,513365,7,8,18,7,7,7,5,skirmisher,purple,,,,,10,,,,,
Chaos Hurricane,Nemesis,100,622318,7,10,18,7,7,7,5,healer,purple,,,10,,,,,,,
Chaos Hurricane,Hulkbuster,90,273827,7,7,17,7,7,7,5,fortifier,blue,,9,,,,4,4,4,4,5
Chaos Hurricane,Doom,60,59765,7,5,11,6,6,6,4,,,,,,,,,,,,
Chaos Hurricane,RedHulk,100,689755,7,9,19,7,8,7,6,striker,purple,10,,,,,,,,,
Chaos Hurricane,AbsorbingMan,100,495663,7,8,18,7,6,6,5,raider,purple,6,8,,10,,,,,,
Chaos Hurricane,Titania,100,533912,7,7,18,7,7,7,5,raider,purple,,5,,10,,,,,,
Chaos Hurricane,Deathlok,55,64935,7,8,10,6,5,5,4,striker,,5,,,,,5,5,5,5,5
Chaos Hurricane,Archangel,100,682154,7,9,19,7,7,8,6,raider,purple,8,,,11,,2,2,2,2,1
Chaos Hurricane,SpiderManNoir,100,508896,7,7,18,7,6,6,5,raider,purple,,,,11,,1,2,1,1,1
Chaos Hurricane,CaptainCarter,100,590714,7,8,18,7,7,7,5,healer,purple,5,5,10,5,5,,,,,
Chaos Hurricane,SpiderMan2099,50,50267,7,8,9,5,5,5,3,striker,,5,,,,,5,5,5,5,5
Chaos Hurricane,USAgent,100,492885,7,8,18,7,6,6,4,skirmisher,purple,,,,,10,,,,,
Chaos Hurricane,BlackPantherBC,60,68928,7,7,11,6,6,6,4,,,,,,,,,,,,
Chaos Hurricane,BuckyBarnes,60,84423,7,8,11,6,6,6,4,raider,,,,,5,,5,5,5,5,5
Chaos Hurricane,CaptainAmericaWW2,80,156518,7,8,15,6,6,6,4,skirmisher,blue,,,,,5,,,,,
Chaos Hurricane,AgentVenom,100,546560,7,8,18,7,7,7,5,raider,purple,,,,10,,,,,,
Chaos Hurricane,DarkBeast,100,533207,7,8,18,7,7,7,5,skirmisher,purple,,6,9,,10,,,,,
Chaos Hurricane,UnionJack,60,87536,7,9,11,6,6,6,4,raider,,,,,5,,5,5,5,5,5
Chaos Hurricane,MrNegative,1,673,7,7,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,Moonstone,100,522147,7,8,18,7,6,7,4,raider,purple,8,,,10,4,,,,,
Chaos Hurricane,Quicksilver,70,85885,7,4,13,6,6,6,4,raider,,,,,5,,5,5,5,5,5
Chaos Hurricane,Firestar,75,134137,7,7,14,7,6,6,4,striker,blue,6,,,,,1,1,1,1,1
Chaos Hurricane,Cosmo,90,292155,7,8,17,7,6,6,5,healer,purple,,,10,,,,,,,
Chaos Hurricane,Gwenpool,75,142772,7,8,14,6,6,6,4,raider,blue,,,,6,,1,1,5,1,1
Chaos Hurricane,IronFistOrson,80,181338,7,8,15,7,6,6,5,healer,blue,,,8,,,4,3,3,4,3
Chaos Hurricane,StarLord_Annihilation,70,109433,7,8,13,6,6,6,4,skirmisher,,,,,,5,5,5,5,5,5
Chaos Hurricane,KangTheConqueror,100,556170,7,8,18,7,6,6,4,raider,purple,,,,10,,,,,,
Chaos Hurricane,OmegaRed,37,18408,7,7,7,4,3,3,2,,,,,,,,,,,,
Chaos Hurricane,Korg,70,109474,7,8,13,6,6,6,4,fortifier,,,5,,,,5,5,5,5,5
Chaos Hurricane,Vahl,100,601796,7,7,18,7,7,7,5,striker,purple,10,,,,,,,,,
Chaos Hurricane,Thor_InfinityWar,75,182571,7,10,14,7,6,6,4,raider,blue,,,,9,,4,5,5,4,5
Chaos Hurricane,AdamWarlock,1,673,7,7,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,LokiTeen,100,544933,7,7,18,7,7,7,5,striker,purple,10,,10,,,,,,,
Chaos Hurricane,Sylvie,100,556396,7,8,18,7,7,7,5,skirmisher,purple,9,,,,10,,,,,
Chaos Hurricane,SpiderManBigTime,65,106519,7,8,12,6,6,6,4,striker,,5,,,,,5,5,5,5,5
Chaos Hurricane,BetaRayBill,100,526033,7,8,18,7,6,6,5,raider,purple,,5,,10,,,,,,
Chaos Hurricane,KamalaKhan,100,616964,7,8,19,7,7,7,5,skirmisher,purple,,,,,10,,,,,1
Chaos Hurricane,Photon,100,687268,7,9,19,7,7,7,5,raider,purple,10,,,11,,2,2,2,2,1
Chaos Hurricane,GhostRiderRobbie,100,638402,7,8,19,7,7,7,5,raider,purple,,,,10,,,,,,
Chaos Hurricane,Ronin,95,431565,7,9,18,7,6,6,4,striker,purple,10,,,,,,,,,
Chaos Hurricane,Mockingbird,100,613174,7,9,18,7,7,7,5,healer,purple,,,10,,,,,,,
Chaos Hurricane,Nova,100,611503,7,9,18,8,6,6,4,raider,purple,5,,,10,,,,,,
Chaos Hurricane,IronManInfinityWar,86,267090,7,8,16,7,6,7,4,striker,blue,10,,,,,5,5,5,5,5
Chaos Hurricane,Dormammu,85,144912,7,5,16,6,6,6,4,,,,,,,,,,,,
Chaos Hurricane,Tigra,95,463115,7,9,18,7,7,7,5,raider,purple,9,,,10,,,,,,
Chaos Hurricane,ZombieJuggernaut,100,368199,6,4,18,6,6,6,4,striker,purple,11,,,,,1,1,1,1,1
